ident,icao_id,name,servcity,state,lat,lon,elevation,n_runways,longest_runway_ft,n_runways_over_7000ft,global_id
CKB,KCKB,North Central West Virginia,CLARKSBURG,WV,39.29765472222222,-80.22753194444445,1223.5,2,7800,1,0F1C6BCC-3C38-417B-892C-A423B85CE57D
HTS,KHTS,Tri-State/Milton J Ferguson Fld,HUNTINGTON,WV,38.36850780555556,-82.56036022222222,828.3,1,7017,1,29685BAA-4AFC-4CC6-AF6D-631E5DE63E14
AFO,KAFO,Afton Lincoln County/General Boyd L Eddins Fld,AFTON,WY,42.70877055555556,-110.94217111111111,6220.9,1,7025,1,439CB855-1C00-4869-BA68-11BA39D31078
CPR,KCPR,Casper/Natrona County Intl,CASPER,WY,42.90587472222222,-106.46364861111111,5344.0,2,10165,2,911AE2D7-3FB5-46A0-94EB-813B41FBFDE1
CYS,KCYS,Cheyenne Rgnl/Jerry Olson Fld,CHEYENNE,WY,41.15563888888889,-104.81047222222222,6159.9,2,9270,1,C664BE98-2E23-44FA-8A95-DDFC6027742C
COD,KCOD,Yellowstone Rgnl,CODY,WY,44.52019444444444,-109.02381277777778,5102.3,1,8268,1,B111DEA6-24BD-4FEF-8EB4-656F5B30D63B
EVW,KEVW,Evanston-Uinta County Burns Fld,EVANSTON,WY,41.274791111111114,-111.03463055555555,7142.7,1,7300,1,B363E948-5F47-442D-9BD9-06A43E19DD6C
GCC,KGCC,Northeast Wyoming Rgnl,GILLETTE,WY,44.348908055555555,-105.5393675,4365.1,2,7501,1,B2AF1481-210A-4948-98B5-23A46E4C18AC
EMM,KEMM,Kemmerer Muni,KEMMERER,WY,41.824083333333334,-110.55694444444444,7288.7,3,8203,1,2EC7349C-030B-4572-BAF6-24337860EBBB
LAR,KLAR,Laramie Rgnl,LARAMIE,WY,41.31205722222222,-105.67498555555557,7283.7,2,8503,1,36879E51-5AD0-4F60-81A2-EBD552F5E8E4
RIW,KRIW,Central Wyoming Rgnl,RIVERTON,WY,43.06423833333333,-108.45984083333333,5516.0,2,8204,1,E1C1C9F9-1B1A-4213-A68A-468701526BA9
RKS,KRKS,Southwest Wyoming Rgnl,ROCK SPRINGS,WY,41.59421777777778,-109.06519861111111,6764.6,2,10002,1,5BB785B9-7552-40F6-A140-D2FC4065194F
SAA,KSAA,Shively Fld,SARATOGA,WY,41.443527777777774,-106.82752777777777,7014.2,1,8801,1,4264F999-02AE-4381-932C-309A5A4C1E65
SHR,KSHR,Sheridan County,SHERIDAN,WY,44.769194444444445,-106.98027777777779,4021.1,2,8301,1,7A2D6BCF-E362-4EB3-87D5-33A89C1BCED5
WRL,KWRL,Worland Muni,WORLAND,WY,43.96288888888889,-107.95052777777778,4251.7,3,7000,1,0827C52C-4F72-4D98-B4BD-A01749B0E957
DWX,KDWX,Dixon,DIXON,WY,41.03744138888889,-107.49252805555555,6548.9,1,7000,1,4B9C2D49-D8D9-41D5-AB86-5EFB22A1BEC4
GEY,KGEY,South Big Horn County,GREYBULL,WY,44.517944444444446,-108.083,3941.8,2,7003,1,740F7D5F-2C16-4362-BC29-743745CE7C0C
PNA,KPNA,Ralph Wenz Fld,PINEDALE,WY,42.79738888888889,-109.81102777777778,7096.2,1,8900,1,B4F91F13-A721-4338-B944-8619B74970AD
RWL,KRWL,Rawlins Muni/Harvey Fld,RAWLINS,WY,41.80572222222222,-107.20033333333333,6816.7,2,7008,1,8B8F21AC-11F6-4DDD-B345-A0360DB8AF2D
XWA,KXWA,Williston Basin Intl,WILLISTON,ND,48.25978361111111,-103.75055666666667,2356.0,2,7503,1,9F8B1438-87DA-4C26-A690-3E92AA118EDF
ALN,KALN,St Louis Rgnl,ALTON/ST LOUIS,IL,38.889916666666664,-90.04599999999999,543.5,2,8099,1,9540772E-E618-4899-B25B-B55FB51BEA66
